1348,233,gold,2021-01-28
1181,62,standart,2021-09-29
1277,257,platinum,2020-03-12
1047,775,platinum,2021-05-23
1303,834,platinum,2020-03-27
1649,614,standart,2021-04-05
1899,808,gold,2020-04-08
1501,607,standart,2020-09-08
1626,531,gold,2021-11-04
1864,125,standart,2020-06-02
1850,164,standart,2021-04-01
1425,825,platinum,2020-11-16
1324,41,platinum,2021-01-29
1880,509,platinum,2021-07-11
1117,438,standart,2020-07-08
1704,472,platinum,2021-07-07
1231,292,standart,2020-10-06
1939,693,platinum,2020-01-14
1550,348,standart,2021-02-18
1835,665,standart,2020-12-26
1018,524,standart,2020-01-06
1055,7,platinum,2020-04-04
1706,592,gold,2021-03-11
1162,312,platinum,2021-10-22
1272,797,standart,2020-09-13
1203,683,standart,2021-04-05
1273,458,standart,2021-09-10
1367,397,platinum,2021-11-06
1113,324,standart,2020-03-10
1129,465,platinum,2020-01-16
1680,614,gold,2020-12-24
1938,429,standart,2020-12-01
1740,268,platinum,2020-10-25
1645,144,platinum,2021-05-07
1086,237,standart,2021-11-04
1768,617,platinum,2020-11-10
1362,274,gold,2020-06-30
1365,283,standart,2021-04-15
1290,521,gold,2021-08-04
1734,98,platinum,2021-10-27
1130,891,platinum,2020-10-08
1829,63,platinum,2020-09-20
1788,853,platinum,2020-02-03
1269,621,gold,2020-04-23
1677,930,gold,2020-05-17
1526,332,standart,2021-10-19
1103,337,platinum,2021-03-30
1045,114,standart,2020-01-16
1238,960,gold,2021-09-17
1547,138,standart,2021-06-21
1538,39,standart,2020-11-16
1964,61,gold,2021-08-27
1090,815,gold,2021-07-23
1849,741,gold,2021-05-27
1062,451,gold,2020-03-14
1409,39,standart,2020-08-20
1167,723,standart,2021-04-10
1519,986,gold,2020-03-29
1384,430,platinum,2021-10-08
1467,931,standart,2021-10-16
1175,161,platinum,2021-05-31
1191,672,platinum,2020-02-01
1391,685,standart,2020-08-11
1700,918,standart,2021-07-02
1307,224,platinum,2021-03-08
1814,148,standart,2020-09-04
1571,625,gold,2020-04-09
1932,266,standart,2021-10-25
1251,252,gold,2020-12-07
1457,522,platinum,2021-09-01
1916,290,platinum,2020-04-08
1635,462,standart,2021-02-09
1555,686,gold,2020-11-28
1644,22,platinum,2021-07-09
1960,676,gold,2020-10-28
1632,904,standart,2020-04-07
1841,749,standart,2021-04-11
1121,322,platinum,2021-01-12
1254,613,platinum,2020-01-18
1053,979,gold,2021-08-10
1594,704,platinum,2021-03-14
1717,837,platinum,2020-10-18
1297,364,gold,2020-02-26
1118,237,standart,2021-02-06
1489,242,platinum,2021-08-28
1987,160,standart,2020-01-09
1688,297,platinum,2021-08-17
1900,458,platinum,2020-09-30
1185,828,platinum,2020-01-15
1737,879,standart,2021-09-20
1800,67,standart,2020-06-27
1476,704,gold,2020-02-07
1610,657,gold,2021-12-21
1505,556,platinum,2020-03-27
1949,884,gold,2020-07-29
1221,183,gold,2020-04-25
1013,353,standart,2021-04-24
1832,875,platinum,2021-07-22
1276,521,gold,2021-11-03
1411,65,platinum,2020-06-08
1102,223,platinum,2020-11-11
1253,786,gold,2021-06-10
1504,766,platinum,2021-05-12
1241,994,gold,2020-05-13
1842,315,gold,2020-06-05
1298,326,standart,2020-08-24
1234,87,standart,2020-12-01
1909,482,platinum,2021-01-17
1976,223,gold,2020-03-02
1482,831,platinum,2019-12-25
1308,523,standart,2021-09-22
1615,452,platinum,2020-02-07
1198,585,standart,2020-02-11
1366,139,standart,2020-05-19
1715,396,gold,2020-07-16
1404,445,standart,2020-06-09
1474,827,gold,2020-03-31
1726,439,standart,2020-01-08
1977,423,platinum,2020-09-26
1591,444,standart,2021-01-09
1355,260,standart,2020-05-02
1947,153,standart,2021-05-16
1898,491,standart,2020-03-25
